recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,3311459898.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,2959200117.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,2387240678.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,3379780066.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,3590313432.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,3369618202.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,2494842604.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,2897044475.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,2086902147.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,3694587009.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,2279889684.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,2785791792.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,3172063323.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,3040805651.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,2055598337.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,2991038336.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,2297280987.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,2964856308.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,2688591981.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,3072959004.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,2526385604.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,3179769448.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,3157033221.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,3243097127.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,2279624054.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,1833588468.000000,0.5,0.51,1,2,30,1000,2147483647
0,0,0,2270571578.000000,0.5,0.51,1,2,30,1000,2147483647
0,0,0,1690636252.000000,0.5,0.51,1,2,30,1000,2147483647
0,0,0,2363772719.000000,0.5,0.51,1,2,30,1000,2147483647
