recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
-1,-1,-1,3125869749.000000,2.603159,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,1792874922.000000,2.981820,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,3748013285.000000,1.802313,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,1796573102.000000,1.858328,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,3548273839.000000,2.046250,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,2439529060.000000,1.753464,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,3253512056.000000,2.061737,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,1725074579.000000,1.908186,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,2385027375.000000,2.326481,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,3372764164.000000,4.228609,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,2079652842.000000,2.458676,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,2439655580.000000,2.508485,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,2727009329.000000,2.039272,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,2516905264.000000,2.044112,0.6,0.61,1,2,30,1000,2147483647
-1,-1,-1,2536696646.000000,3.848144,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,3766998842.000000,8.046150,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,1838731744.000000,4.770009,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,2218558052.000000,1.745683,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,2113931371.000000,5.537065,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,2024078632.000000,1.760263,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,3090195548.000000,1.590049,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,3087305398.000000,2.092386,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,3658495726.000000,2.014160,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,1708239337.000000,3.568014,0.5,0.51,1,2,30,1000,2147483647
-1,-1,-1,3601400852.000000,4.884666,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,2244165268.000000,7.390473,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,2158262237.000000,4.986970,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,1838305193.000000,6.505057,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,3453668574.000000,5.818801,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,3280535180.000000,2.244697,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,2003884174.000000,5.165576,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,1697750785.000000,4.370401,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,1832525917.000000,11.583550,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,3481528557.000000,4.520618,0.4,0.41,1,2,30,1000,2147483647
-1,-1,-1,2800018108.000000,2.318860,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,3143559491.000000,5.454582,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,2868550671.000000,5.428048,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,2082984364.000000,3.551695,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,3342008837.000000,7.077766,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,2142161788.000000,4.866497,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,3166637448.000000,5.559058,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,2953738846.000000,10.201472,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,3340289015.000000,8.154547,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,2375561109.000000,1.196454,0.3,0.31,1,2,30,1000,2147483647
-1,-1,-1,3642842030.000000,8.448592,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,2270751821.000000,7.696975,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,3375565793.000000,4.700677,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,2131033974.000000,4.489630,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,3412438210.000000,7.845343,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,2652365412.000000,6.002092,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,3717491052.000000,3.237685,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,3130388330.000000,4.264049,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,3171348240.000000,1.141356,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,2504268614.000000,5.619460,0.2,0.21,1,2,30,1000,2147483647
-1,-1,-1,3469459828.000000,2.972922,0.1,0.11,1,2,30,1000,2147483647
-1,-1,-1,3667320521.000000,4.642096,0.1,0.11,1,2,30,1000,2147483647
-1,-1,-1,3192765114.000000,5.741056,0.1,0.11,1,2,30,1000,2147483647
2,25,11,2514828216.000000,0.899116,0.1,0.11,1,2,30,1000,2147483647
-1,-1,-1,2150944765.000000,6.564456,0.1,0.11,1,2,30,1000,2147483647
-1,-1,-1,3199076943.000000,4.001943,0.1,0.11,1,2,30,1000,2147483647
-1,-1,-1,2348363850.000000,3.895434,0.1,0.11,1,2,30,1000,2147483647
-1,-1,-1,2653436586.000000,1.667349,0.1,0.11,1,2,30,1000,2147483647
